iter	Passed	Remaining
0	3	178
1	4	116
2	8	131
3	11	130
4	14	133
5	17	130
6	20	127
7	23	125
8	26	122
9	29	118
10	32	114
11	35	111
12	38	108
13	40	105
14	43	101
15	46	99
16	49	96
17	52	93
18	55	90
19	58	87
20	61	84
21	64	81
22	66	78
23	69	75
24	72	72
25	75	69
26	78	67
27	81	63
28	83	60
29	86	57
30	89	54
31	92	51
32	94	48
33	97	45
34	100	42
35	102	40
36	105	37
37	108	34
38	111	31
39	114	28
40	117	25
41	120	22
42	122	19
43	125	17
44	128	14
45	131	11
46	134	8
47	137	5
48	139	2
49	142	0
