iter	RMSE
188	0.8882100787
189	0.8862925567
190	0.8840302441
191	0.8807361509
192	0.8788231847
193	0.8727538855
194	0.8705780416
195	0.8678581471
196	0.8649210364
197	0.8633356181
198	0.8613157694
199	0.8606148011
200	0.8588319214
201	0.856423352
202	0.8533047243
203	0.8506824245
204	0.847674824
205	0.8436811668
206	0.8408722514
207	0.8348792483
208	0.8327823881
209	0.832138061
210	0.8303817615
211	0.8288739038
212	0.823848075
213	0.8219401748
214	0.8192164296
215	0.8161084269
216	0.8132572206
217	0.8109427104
218	0.80965997
219	0.8064247436
220	0.8043502519
221	0.8027623541
222	0.7993526983
223	0.7979579462
224	0.7970097181
225	0.795557878
226	0.7924127157
227	0.7908157578
228	0.7886276825
229	0.7876053112
230	0.7863193602
231	0.7842589922
232	0.7824268583
233	0.7812539
234	0.7804899217
235	0.7773203756
236	0.7762469956
237	0.7755165672
238	0.7743609127
239	0.7690136689
240	0.7676178678
241	0.7639465537
242	0.7616019871
243	0.759436118
244	0.7583483097
245	0.7577749819
246	0.7561666571
247	0.754564538
248	0.7522202912
249	0.7509158998
250	0.7502817938
251	0.7494365623
252	0.7485956335
253	0.7472729894
254	0.7444149279
255	0.7421906207
256	0.7415977129
257	0.7410091467
258	0.7400862283
259	0.7383773851
260	0.7365494646
261	0.7346893925
262	0.734159808
263	0.7335739862
264	0.7325411622
265	0.7316762581
266	0.7311946662
267	0.7303544504
268	0.7298697109
269	0.7280121785
270	0.72676404
271	0.7259401651
272	0.7231256376
273	0.7223163111
274	0.7187460593
275	0.7164915633
276	0.7147575071
277	0.7138378121
278	0.7084023349
279	0.7069339873
280	0.7065211827
281	0.701380432
282	0.7009362623
283	0.6989766706
284	0.6972085144
285	0.6953911942
286	0.6949356845
287	0.6936272048
288	0.6916775142
289	0.6897927045
290	0.6877079953
291	0.6860553865
292	0.6856248492
293	0.6843604356
294	0.6839915655
295	0.6836049652
296	0.6816898163
297	0.6801837667
298	0.6797892875
299	0.6793916827
300	0.6790973738
301	0.6785148176
302	0.6771749085
303	0.6758498784
304	0.6746596014
305	0.6743423602
306	0.6695903747
307	0.6692506491
308	0.6677531679
309	0.6661369508
310	0.6627512915
311	0.6619832196
312	0.6603012571
313	0.6590687746
314	0.6570656301
315	0.6544422002
316	0.6540721738
317	0.6537565256
318	0.6534019589
319	0.6510439415
320	0.6484791472
321	0.6442049646
322	0.6435447098
323	0.6430823229
324	0.6417521977
325	0.6410941776
326	0.6407778543
327	0.6396869809
328	0.6394432155
329	0.6387719639
330	0.6381748257
331	0.6337182929
332	0.6334197917
333	0.6331171379
334	0.6307879618
335	0.6292481944
336	0.6289639286
337	0.6254066313
338	0.6241189797
339	0.6238279382
340	0.6225819774
341	0.6222977107
342	0.6212599084
343	0.6210329335
344	0.6160791722
345	0.6149808706
346	0.6147129621
347	0.609878035
348	0.6090717276
349	0.6077786895
350	0.6071679232
351	0.6039151468
352	0.6021265919
353	0.5998694703
354	0.5995970801
355	0.5990073816
356	0.5982467202
357	0.5971417141
358	0.5957227177
359	0.5955392449
360	0.5939583818
361	0.5933602558
362	0.5931198579
363	0.5916686455
364	0.5900307942
365	0.5888871799
366	0.5851276357
367	0.5848871312
368	0.5831283292
369	0.5810496205
370	0.5780580679
371	0.5764400268
372	0.5760020819
373	0.5757156387
374	0.5754937955
375	0.5753049459
376	0.5749367629
377	0.5712778904
378	0.5704907359
379	0.5702746587
380	0.5701195748
381	0.568042689
382	0.5675409369
383	0.56572605
384	0.5652825139
385	0.5637745279
386	0.5626259198
387	0.5622408554
388	0.5620675997
389	0.5618674604
390	0.5607615871
391	0.5604438545
392	0.5594367107
393	0.5585859248
394	0.5583545958
395	0.5559016443
396	0.5536650747
397	0.5519178777
398	0.551766021
399	0.5482283982
400	0.5471921996
401	0.5461087789
402	0.5431240044
403	0.5429663213
404	0.5427108014
405	0.541374384
406	0.5406087809
407	0.5404076097
408	0.5392177342
409	0.539037928
410	0.5388616041
411	0.5386301456
412	0.5379804219
413	0.5370855918
414	0.5347347156
415	0.5345576934
416	0.5325963708
417	0.5324317291
418	0.5299683825
419	0.5296001061
420	0.5294372028
421	0.5288898176
422	0.5287748534
423	0.5286122625
424	0.5280647022
425	0.5269614592
426	0.5266972197
427	0.525056385
428	0.5215259424
429	0.519863985
430	0.5194873987
431	0.5184156538
432	0.5182589345
433	0.5179719087
434	0.5160106687
435	0.5141246299
436	0.5131486205
437	0.5115339634
438	0.5110878051
439	0.5105025771
440	0.5098536355
441	0.5097093275
442	0.5087986359
443	0.5086351181
444	0.5084747228
445	0.5083392181
446	0.5074999371
447	0.5068249604
448	0.5066925248
449	0.5065449041
450	0.5051063705
451	0.5039933826
452	0.5025715214
453	0.5008374767
454	0.4997338215
455	0.499585371
456	0.499455267
457	0.4985752735
458	0.4969191303
459	0.4964080248
460	0.4962428086
461	0.4959093856
462	0.4946007812
463	0.4929567098
464	0.4927823833
465	0.4902524653
466	0.487057002
467	0.4859473451
468	0.4828669344
469	0.4816403057
470	0.4814077376
471	0.4807423245
472	0.4783299818
473	0.4781604583
474	0.4766444199
475	0.4765579649
476	0.4764431213
477	0.4763390526
478	0.4749061511
479	0.4741329947
480	0.4740073053
481	0.4725538662
482	0.4710867685
483	0.4690012392
484	0.4684072681
485	0.4671305478
486	0.4642547974
487	0.4641381172
488	0.4626682228
489	0.4617429922
490	0.4611764056
491	0.4593830126
492	0.4592403623
493	0.4591378691
494	0.456432443
495	0.4555846801
496	0.4546543266
497	0.4521668339
498	0.4520662887
499	0.4513031836
500	0.4501723627
501	0.4491365746
502	0.448675235
503	0.4481324736
504	0.4480036241
505	0.4458143901
506	0.4457159171
507	0.4429625905
508	0.442102632
509	0.441779639
510	0.440952709
511	0.4403799226
512	0.4389285364
513	0.436303044
514	0.4351141606
515	0.4329791604
516	0.4324007609
517	0.4319173724
518	0.4312440006
519	0.4305405601
520	0.4285095988
521	0.428106663
522	0.427198504
523	0.4271113062
524	0.4263137404
525	0.4256995861
526	0.424572608
527	0.4227317643
528	0.4223478009
529	0.4218547151
530	0.4206528889
531	0.4204485518
532	0.419379515
533	0.4183211829
534	0.4178988548
535	0.4170231337
536	0.4164350351
537	0.4162421587
538	0.4154269989
539	0.4153425245
540	0.414586866
541	0.412344688
542	0.4113778971
543	0.411285543
544	0.4104177338
545	0.4098831561
546	0.4082326796
547	0.4065618287
548	0.4059782442
549	0.4045985604
550	0.4039625941
551	0.4038878638
552	0.4037723141
553	0.4027001276
554	0.402343429
555	0.401354035
556	0.4000344958
557	0.3990482851
558	0.3985650437
559	0.3984842073
560	0.3976794466
561	0.3963766239
562	0.3962945465
563	0.3957232877
564	0.3952758917
565	0.3941762833
566	0.39353319
567	0.3934493251
568	0.3925217911
569	0.3915190079
570	0.3914172525
571	0.3899619865
572	0.3895673231
573	0.3885936803
574	0.3881968526
575	0.3881328441
576	0.3878760762
577	0.3873895639
578	0.3869474634
579	0.3868698648
580	0.3863629686
581	0.385437279
582	0.384820905
583	0.3842601978
584	0.3836172654
585	0.3832904785
586	0.3827830277
587	0.3820293361
588	0.3816286548
589	0.3811829794
590	0.3792589179
591	0.3778291917
592	0.3772321471
593	0.3767285352
594	0.3759757182
595	0.3756027248
596	0.3746499406
597	0.3737414086
598	0.3725868733
599	0.3715115785
600	0.3702656746
601	0.3698497837
602	0.3676382425
603	0.3672630289
604	0.3669771686
605	0.3663274764
606	0.3649477958
607	0.3639396555
608	0.3635080614
609	0.3627964681
610	0.3619691444
611	0.3616527873
612	0.3610975831
613	0.3604796492
614	0.3598425792
615	0.3589389529
616	0.3580527778
617	0.3576498328
618	0.3573197972
619	0.3568649962
620	0.356671359
621	0.3558417678
622	0.35440785
623	0.3534761468
624	0.352168109
625	0.3517281402
626	0.3515245556
627	0.3505069553
628	0.3491867026
629	0.3487815261
630	0.3479825316
631	0.347017151
632	0.3467364329
633	0.3457944135
634	0.3449035389
635	0.3447164543
636	0.344317366
637	0.3439331705
638	0.3438713915
639	0.343176936
640	0.3422999966
641	0.3410233877
642	0.3407980621
643	0.34042614
644	0.3398098858
645	0.3396974876
646	0.3387132287
647	0.3376860645
648	0.3376276346
649	0.336727069
650	0.3352790991
651	0.3345814351
652	0.3340582634
653	0.3333203384
654	0.3325462045
655	0.3315775919
656	0.3308689292
657	0.3303115814
658	0.3300362178
659	0.3289639984
660	0.3283312562
661	0.3276139902
662	0.3267473546
663	0.3260085552
664	0.3258080923
665	0.32518124
666	0.3245591834
667	0.3235623892
668	0.3234778792
669	0.3234066881
670	0.3222929882
671	0.3212840109
672	0.3207583285
673	0.3200488019
674	0.3199857644
675	0.3196747651
676	0.3187580777
677	0.3178886479
678	0.3173158363
679	0.3162115799
680	0.3158660728
681	0.3157961631
682	0.3151474065
683	0.3148530543
684	0.3145486842
685	0.3139575676
686	0.3132716113
687	0.3130872461
688	0.3122464766
689	0.3121805253
690	0.311937869
691	0.3114178393
692	0.3107363967
693	0.3103954134
694	0.3096135191
695	0.3084842654
696	0.3078338009
697	0.3076364686
698	0.3071918079
699	0.3069637376
700	0.3066533815
701	0.306589378
702	0.3059253221
703	0.3053570773
704	0.3048240957
705	0.3047779496
706	0.3036321139
707	0.3030529127
708	0.3018137897
709	0.3011482654
710	0.300853862
711	0.2997065964
712	0.2986936321
713	0.297763881
714	0.2974095847
715	0.2972246552
716	0.2963435032
717	0.2961936203
718	0.2956196759
719	0.2955602261
720	0.295254298
721	0.2949834892
722	0.294517191
723	0.2938969891
724	0.2925049703
725	0.2918476592
726	0.2915722501
727	0.2909258906
728	0.290718359
729	0.2898112218
730	0.288983818
731	0.2883494616
732	0.2879330212
733	0.2875213428
734	0.2869553792
735	0.286534386
736	0.2860495481
737	0.2849625865
738	0.2842941879
739	0.2835969025
740	0.2830872139
741	0.2824711437
742	0.2822642204
743	0.2820033116
744	0.2813728997
745	0.2810009614
746	0.2806977548
747	0.2804937817
748	0.2798574822
749	0.279311352
750	0.2786906837
751	0.2779252403
752	0.2776766922
753	0.2774550982
754	0.2771581082
755	0.2763084706
756	0.2757964645
757	0.27544703
758	0.2753921667
759	0.2752415252
760	0.2743651213
761	0.2738097854
762	0.2732764938
763	0.2727715653
764	0.2726803209
765	0.2721409196
766	0.2719315084
767	0.2713236791
768	0.2708596491
769	0.2706152452
770	0.2703764001
771	0.2697112989
772	0.2690399007
773	0.2686092703
774	0.2678868503
775	0.2674877899
776	0.2669659858
777	0.2663777839
778	0.2657526869
779	0.2654828073
780	0.2652122347
781	0.2647854912
782	0.2641690698
783	0.2635565869
784	0.2633674124
785	0.2627455244
786	0.2622226956
787	0.2618842677
788	0.2612754676
789	0.2608863624
790	0.2606567867
791	0.2601869832
792	0.259592435
793	0.2592303546
794	0.2590687139
795	0.2588149391
796	0.2583511836
797	0.2582906754
798	0.2581390791
799	0.2577549849
800	0.2570414143
801	0.2568741716
802	0.256306568
803	0.2560853598
804	0.2556543705
805	0.2552861063
806	0.254788292
807	0.254359305
808	0.2539744205
809	0.2531382821
810	0.2529081602
811	0.2525299033
812	0.2521519315
813	0.2519711827
814	0.2515356562
815	0.2514135471
816	0.2512090182
817	0.2510643816
818	0.2510260079
819	0.2506636837
820	0.2505063448
821	0.250385753
822	0.2500261346
823	0.2497189582
824	0.2491622218
825	0.2483732931
826	0.2482434477
827	0.2478460713
828	0.2476608562
829	0.2470185898
830	0.246576217
831	0.2461583714
832	0.2458159204
833	0.2451705256
834	0.244657354
835	0.2443822043
836	0.2440157773
837	0.2432696566
838	0.2430518536
839	0.2427364779
840	0.2423448617
841	0.2413367867
842	0.2411235959
843	0.2408119883
844	0.2399984217
845	0.2394202221
846	0.2391133247
847	0.2390703635
848	0.2389017984
849	0.2388051449
850	0.2384260269
851	0.2382361186
852	0.237736472
853	0.2373274472
854	0.2367562391
855	0.236377403
856	0.2362676631
857	0.2359149587
858	0.235751912
859	0.2353576429
860	0.2349530269
861	0.2349052371
862	0.234642425
863	0.2341779353
864	0.2339930471
865	0.2336185777
866	0.2332334905
867	0.2326509635
868	0.2320840574
869	0.2315120059
870	0.2314378934
871	0.2310580377
872	0.2305256318
873	0.2300602493
874	0.2299883926
875	0.2293287975
876	0.229091338
877	0.2286102388
878	0.2282741718
879	0.2282096014
880	0.2276798482
881	0.2274018979
882	0.2273527251
883	0.2267091041
884	0.2264649614
885	0.2262532182
886	0.2261248504
887	0.2260173162
888	0.2252628494
889	0.2250848921
890	0.2249551321
891	0.2248316777
892	0.2247804977
893	0.2240248068
894	0.2237786724
895	0.2234605428
896	0.2233544099
897	0.2229564348
898	0.2225498443
899	0.2224214293
900	0.2220655864
901	0.2219261439
902	0.2215299151
903	0.2212165026
904	0.2207778521
905	0.2202293583
906	0.2200615906
907	0.2200200911
908	0.2197999022
909	0.2195653602
910	0.2191998628
911	0.2190914082
912	0.2187550748
913	0.2181431711
914	0.2177238643
915	0.2173511577
916	0.2171045265
917	0.2168579433
918	0.2163598725
919	0.2157934355
920	0.2152624732
921	0.2151720861
922	0.2147203295
923	0.2141900688
924	0.2140451282
925	0.2139530712
926	0.2134686911
927	0.2134318847
928	0.2132074241
929	0.2127831131
930	0.2127310835
931	0.2122726054
932	0.211991149
933	0.2116865324
934	0.2114204864
935	0.2110531336
936	0.2106716127
937	0.2106381156
938	0.2102588916
939	0.20979116
940	0.2095710403
941	0.2091898983
942	0.2088238303
943	0.2083807867
944	0.2080952865
945	0.2077179253
946	0.2076661002
947	0.2073310458
948	0.2068361494
949	0.2062066766
950	0.2060631461
951	0.2051392445
952	0.2048527141
953	0.2042371431
954	0.2032692623
955	0.2030319995
956	0.202662693
957	0.2020890163
958	0.2019333686
959	0.2017175156
960	0.2015952454
961	0.2015571671
962	0.201314479
963	0.2006734542
964	0.2004737822
965	0.2001281211
966	0.1995015497
967	0.1993951486
968	0.1989774581
969	0.1987049057
970	0.1986708064
971	0.198201972
972	0.1981604172
973	0.1980150642
974	0.1977565286
975	0.1976734166
976	0.1973214324
977	0.1969603327
978	0.1965777994
979	0.1964918786
980	0.1963252927
981	0.1955746768
982	0.1950461089
983	0.1948453538
984	0.194351318
985	0.194027701
986	0.1937452759
987	0.1931821452
988	0.1928852342
989	0.1926353973
990	0.1925165675
991	0.191947301
992	0.1917903428
993	0.1916298846
994	0.1913239515
995	0.1910905868
996	0.190781062
997	0.190530109
998	0.1904681558
999	0.1901936479
